time,T1,T2,T3,T4,T5,T6,T7,T8,P1,P2,Mass,airFlow
-0.17012519293431438,76.67543252595135,58.61072664359847,68.66262975778534,62.63148788927333,91.40865051903108,206.51730103806221,63.952595155709221, 328.43, -1443.22, -1469.56, 239.43, 169.30
0.9572286057280053,56.927750865051735,48.57523479980205,79.92486406327225,88.91003460207594,169.9858131487889,108.29584775086494,171.40743944636665, 328.43, -1566.01, -1480.82, 237.85, 167.14
0.7266335105470745,43.26721453287189,57.85357030512728,82.44809688581302,117.08408304498266,328.43252595155707,411.40380622837364,44.10726643598605, 204.10, -1505.25, -1514.27, 235.23, 167.14
5.21042702795404,50.73075259515565,60.539050914483255,83.7013211701792,137.15916955017292,402.09861591695494,306.83119130004934,249.9319492502883, 48.76, -1395.53, -1501.15, 231.56, 172.51
9.11061567484137,62.63148788927333,62.200692041522416,82.23269896193756,159.12975778546706,236.13451557093413,209.51030647553125,315.83174740484424, 260.63, -1660.67, -1396.96, 228.41, 181.64
11.61584633853542,64.78546712802756,59.615916955017155,78.57093425605524,177.00778546712786,471.2413494809688,124.3645328719723,329.7249134948096, 317.83, -1711.81, -1292.27, 225.26, 184.33
19.55856628365632,54.44636678200686,61.71604671280261,74.47837370242223,200.4861591695501,667.4774740484429,43.676470588235134,430.53114186851207, 49.79, -1775.24, -1204.89, 219.68, 190.23
24.170468187274906,63.49307958477493,64.1392733564013,72.75519031141857,219.01038062283726,579.1557093425605,425.16693579392535,454.44031141868504, 330.50, -1828.48, -1118.60, 219.49, 196.68
28.379743734228384,59.615916955017155,63.00843425605524,74.04757785467109,234.37356760886166,292.67647058823525,71.07066808623881,468.7642733564013, 59.62, -1648.10, -1035.63, 215.30, 199.90
33.394271994512096,65.43166089965382,67.69333910034595,76.29946524064155,264.24394463667807,659.8991596638655,504.07414730598117,483.8421280276816, 336.70, -1589.15, -948.37, 212.67, 211.73
36.639684445206655,67.37024221453282,65.43166089965382,76.57850346020746,286.2145328719722,587.1014994232987,73.61678200692018,493.4273356401384, 369.62, -1709.53, -860.06, 212.66, 206.34
39.79969130509346,58.754325259515554,70.11656574394453,77.49394463667818,308.18512110726635,552.6359169550173,480.9527187345526,502.58174740484424, 399.77, -1531.05, -776.38, 209.52, 211.17
46.20511061567484,73.83217993079575,73.83217993079575,76.54619377162624,331.87889273356393,581.2235294117647,461.7638408304498,511.30536332179923, 434.41, -1460.56, -693.97, 208.46, 219.77
50.13376779283142,66.72404844290645,70.471972318339,77.1923875432525,357.99589100346014,613.7916955017301,490.91435986159155,516.1518166089966, 458.96, -1396.29, -818.54, 205.30, 220.30
54.147830560795754,73.0936727632228,72.86288927335625,83.52508650519019,367.9221453287196,656.8885121107267,526.8140138408304,523.583044982699, 478.25, -1334.54, -774.46, 205.29, 222.43
59.41857559350271,65.1547207118141,67.07199893532061,86.91760380622827,359.4498269896193,674.7234602076124,556.9697231833909,529.614186851211, 492.31, -1271.53, -894.09, 203.19, 216.51
63.73765832863758,67.73949579831924,71.01242529097192,88.16593268323368,339.3870489372219,680.9958477508651,568.8166089965398,535.5376297577855, 501.35, -1221.05, -686.53, 203.18, 217.05
66.0619104784771,77.70934256055352,72.30481283422455,88.04844290657434,335.7022058823528,674.7923875432525,579.6726643598615,541.0302768166089, 511.43, -1169.03, -617.21, 202.65, 218.64
69.63471102726805,79.28892733563998,72.6474913494809,87.86381611468107,335.3252595155708,671.0875432525951,586.7520761245673,546.1998269896194, 519.45, -1098.75, -522.81, 201.07, 215.40
73.84805350711714,78.95386389850046,72.53979238754312,88.6946366782006,341.1102323282254,673.9307958477508,593.8889273356401,551.5847750865051, 527.20, -1045.80, -425.32, 201.06, 214.86
78.48842394100498,74.30605536332155,72.2415491083309,91.79636678200677,374.5276816608996,677.8079584775087,599.833910034602,557.1851211072665, 534.96, -1154.74, -416.50, 198.96, 211.08
82.24626993654604,81.37110726643596,77.7631920415223,94.98033972947462,398.8676470588235,681.7712802768166,606.7266435986159,563.3239619377161, 541.16, -1237.38, -500.46, 198.95, 199.77
81.6142685645687,67.11176470588214,81.82148474362987,109.43158225857178,421.91522491349474,682.460553633218,610.7474048442906,567.5242214532872, 548.91, -1076.24, -566.46, 200.51, 202.45
86.17492711370264,89.12543252595151,82.50292544825402,116.31942041522484,447.7629757785466,679.5311418685121,614.4809688581315,572.0475778546713, 555.12, -1007.57, -642.09, 196.84, 200.29
85.40627679643285,71.2474048442906,75.52222517966447,137.9815979867882,471.8875432525951,675.2231833910034,621.481401384083,577.8633217993079, 562.10, -945.19, -732.38, 196.30, 194.35
90.27439547247471,93.54108996539787,74.26297577854666,142.32871972318333,512.8593054869007,670.3982698961937,625.9688581314879,580.4480968858131, 567.78, -904.05, -767.63, 195.77, 195.95
90.53061224489795,77.70934256055352,75.78251022334041,164.4167977351368,487.39619377162626,667.1069896193771,631.3681660899654,584.3252595155709, 574.50, -846.50, -659.57, 195.24, 191.07
94.8862973760933,82.03884083044977,83.59688581314867,155.2525951557093,540.1994562530895,670.9152249134947,645.1782501235788,587.8793252595156, 578.64, -773.61, -543.72, 194.70, 189.46
97.44846510032585,69.7934688581314,94.07958477508635,187.56228373702413,568.6319822046465,675.2059515570934,652.8217993079584,594.9874567474048, 582.52, -1002.11, -481.66, 194.70, 186.77
100.52306636940492,82.66349480968847,109.46515076618869,161.7145328719722,510.659169550173,679.2898961937716,665.716955017301,601.4493944636678, 587.69, -902.62, -561.34, 194.69, 189.44
100.69387755102039,65.64705882352928,124.23529411764696,207.5942906574394,579.6865113692536,691.8002076124567,672.0640138408305,607.5882352941176, 595.96, -1080.29, -386.28, 194.68, 185.65
104.97192123602687,70.42497640767533,137.15916955017292,245.7197231833909,552.015570934256,698.0553633217993,678.3464532871972,614.6963667820069, 602.68, -858.92, -316.64, 194.67, 184.57
106.82599897101699,81.5865051903113,153.96020761245666,223.74913494809675,523.2753336628768,700.3299653979238,687.2567474048442,621.481401384083, 612.50, -1152.64, -438.96, 192.56, 188.33
109.74687017664209,72.32977941176455,169.2842313395946,251.89446366782,552.4463667820069,703.3541522491349,697.2799307958477,629.2357266435986, 619.74, -1002.80, -432.16, 193.60, 182.94
110.13119533527697,96.12586505190302,179.2335640138407,262.4032714690154,517.121107266436,734.7591695501729,690.397454275828,629.5588235294117, 629.56, -1078.37, -339.83, 194.11, 181.84
113.93174412622193,74.69377162629746,173.54484961405376,272.42906574394453,581.869723183391,738.3907785467128,674.1102941176471,613.7270761245675, 624.65, -902.85, -488.43, 192.53, 185.05
114.35877208026068,104.63408304498262,194.99351211072656,297.84602076124554,556.3235294117646,699.864705882353,659.0683391003461,605.3265570934255, 607.07, -845.12, -599.38, 192.52, 176.45
117.60418453095522,117.77335640138404,173.9922145328719,325.7185121107266,527.1305169126474,686.423875432526,666.750865051903,604.357266435986, 604.49, -792.41, -681.90, 194.60, 181.80
118.80762694688266,79.86332179930798,216.31790657439433,317.66262975778545,624.0661764705882,674.3615916955017,671.4537197231833,603.7110726643598, 604.23, -743.35, -709.47, 194.59, 172.12
122.38689761618934,141.68252595155695,264.92090954028663,343.9411764705882,554.6003460207612,674.5339100346021,650.1652249134947,604.6803633217993, 602.94, -976.88, -624.00, 194.58, 173.19
120.76419139084206,119.06574394463655,237.10380622837363,363.3269896193771,578.0248702422145,658.6375432525952,647.7384083044982,601.1262975778546, 601.13, -852.42, -540.48, 194.57, 172.09
122.04527525295833,89.77162629757777,286.7530276816608,389.69169550173,585.6176470588234,638.6055363321799,642.9134948096886,600.8032006920415, 598.28, -780.61, -452.66, 193.51, 158.64
123.83879265992113,100.9723183391003,265.1055363321799,380.12802768166085,623.2584342560554,631.7128027681661,637.1925259515571,597.57223183391, 590.53, -726.98, -426.90, 191.93, 155.41
124.86365974961413,153.52941176470574,298.86916089965393,386.0360850222441,553.3079584775086,622.8384083044982,637.7008650519031,594.6643598615917, 586.39, -933.76, -440.06, 188.26, 159.69
129.21934488080947,124.1706747404844,313.3485170538804,377.0262975778546,522.7214532871972,625.6816608996539,629.2716262975779,580.0173010380622, 582.26, -992.66, -357.44, 187.21, 144.64
133.31881323958154,103.6576124567473,329.2941176470588,386.58996539792383,620.6967375185368,626.0047577854671,636.0566608996539,582.0635813148788, 578.38, -1069.39, -291.95, 183.33, 143.01
134.45348751745598,93.69802273850712,354.92647058823525,413.51470588235287,552.8771626297578,628.2664359861592,633.5795847750865,580.7711937716263, 575.02, -1147.98, -266.31, 177.25, 133.33
139.36552906877037,95.72522491349491,407.80666089965393,425.9154720711814,518.4134948096885,623.4199826989619,625.5021626297578,577.8633217993079, 577.86, -1197.86, -308.30, 172.01, 130.64
141.0053164122792,117.12716262975766,376.250865051903,424.0692041522491,609.7422145328719,614.0501730103806,629.4152249134947,575.2785467128027, 581.74, -914.16, -385.88, 161.55, 129.56
142.03018350197223,139.0977508650518,391.7595155709342,423.2076124567473,566.3933823529411,614.4120415224913,620.2249134948096,572.0475778546713, 580.45, -984.26, -461.84, 157.35, 123.10
144.3361344537815,172.80556778861262,433.54671280276807,426.007785467128,558.5159725654967,610.9484429065743,621.5173010380622,571.0782871972318, 576.83, -838.36, -538.57, 150.02, 111.26
144.16532327216603,158.69896193771615,407.26816608996535,428.95155709342555,600.0185368264953,602.4703806228374,616.1467128027681,568.8166089965398, 576.83, -787.69, -347.47, 142.17, 110.18
147.15451895043734,151.3754325259515,472.35280276816604,444.23044982698957,546.1998269896194,585.359169550173,611.8961937716263,566.2318339100345, 578.90, -876.23, -501.09, 134.84, 107.48
149.71668667466986,130.83185553633223,443.455017301038,458.44671280276816,528.7525951557093,580.2413148788926,605.9727508650519,565.5856401384083, 570.16, -1020.03, -262.53, 127.51, 105.87
149.33236151603498,118.4195501730103,506.59738012852193,475.37698961937707,501.8432402372713,577.4756055363321,598.9957043994068,562.6777681660899, 571.19, -954.88, -428.22, 120.70, 89.73
152.02263762647917,137.15916955017292,492.2426470588235,474.4723183391003,508.5678515256369,585.5659515570933,591.6128892733564,557.1851211072665, 578.05, -791.85, -340.09, 112.32, 97.25
154.32858857828847,159.7328719723181,469.3027681660899,508.93598615916954,502.0971020761245,576.5537024221453,584.8996539792388,552.015570934256, 573.04, -861.72, -359.59, 111.79, 88.63
158.8550848910993,171.2399077277969,498.6399653979238,537.3340484429066,486.36228373702414,577.8633217993079,575.5657439446366,548.5692041522491, 570.87, -929.55, -428.55, 103.41, 89.17
160.63152117990055,183.0389273356401,523.1522491349481,528.7525951557093,479.87684806542933,571.8321799307957,570.7910899653978,557.6159169550173, 565.02, -801.31, -498.01, 99.21, 78.94
164.5073821736487,195.95105379050005,488.94705882352935,541.3533737024221,492.2426470588235,564.4224913494809,567.8473183391003,549, 578.95, -981.11, -574.37, 97.11, 78.40
167.1394271994512,184.97750865051898,519.7058823529411,551.1539792387543,496.9598615916954,561.9238754325258,566.2318339100345,547.815311418685, 569.85, -887.91, -651.55, 92.92, 76.25
169.67312639341452,166.74048442906565,492.30726643598604,538.2301038062283,485.3858131487889,548.9138408304498,552.9489619377163,542.9688581314879, 553.18, -1044.89, -676.33, 90.82, 68.71
173.80106328245586,168.46725778546693,494.93120478137774,518.4134948096885,477.9876124567473,546.8460207612457,547.061418685121,537.1531141868511, 552.77, -1112.08, -627.94, 88.72, 61.71
178.08354362153023,160.58830944142358,490.33996539792383,504.0679930795847,492.9182132746146,508.0743944636678,546.3865051903113,533.9221453287197, 548.05, -975.23, -538.08, 84.52, 64.94
180.05275252958327,153.55956747404832,510.659169550173,501.4278299555115,482.87283737024217,495.84840830449815,539.7797722029989,525.1985294117646, 544.25, -1162.05, -464.98, 82.42, 63.86
183.53730063453955,164.29930795847747,478.1879325259515,493.3411764705882,470.810553633218,499.94466139396934,526.8140138408304,522.6137543252595, 530.96, -910.12, -561.35, 79.79, 68.69
184.56216772423255,178.98944636678198,513.2439446366782,490.90410281759756,459.5129325259515,494.8575778546712,521.7306228373702,523.583044982699, 527.45, -1006.30, -386.63, 78.21, 51.46
186.6119019036186,205.00951557093413,483.9252100840336,484.81141868512105,446.40904597132965,494.6570619691727,529.7936851211073,516.4749134948097, 515.31, -842.65, -493.17, 76.64, 62.74
187.89298576573486,225.04152249134938,477.33403361344534,489.01167820069196,444.2774457376533,490.65301038062273,521.9029411764704,515.8287197231833, 512.47, -957.08, -423.71, 74.01, 50.90
189.33711666484777,253.02758729160098,509.7975778546712,506.7820069204152,452.9632970835392,491.8549307958477,519.4186851211073,506.7820069204152, 504.97, -1064.41, -351.13, 72.96, 44.45
192.50488766935345,236.52941176470586,486.74999999999994,545.1659169550172,451.2093425605536,479.72802768166093,527.7833044982699,497.0891003460207, 504.07, -894.65, -382.64, 70.85, 49.29
194.6012067164528,220.8001415539477,531.3373702422145,538.2301038062283,434.56736758051636,481.6432229362333,519.993079584775,484.81141868512105, 497.45, -1113.85, -464.54, 68.75, 46.04
199.01279368890414,235.63910034602065,557.0774221453287,546.1998269896194,466.2010380622837,485.6514705882352,519.5622837370242,479.64186851211065, 495.62, -1197.14, -552.71, 68.75, 40.11
200.31949922826274,243.781141868512,541.6764705882352,536.7653979238753,477.5417387543252,483.6051903114186,516.020184544406,478.3494809688581, 496.15, -1159.86, -637.44, 62.46, 43.33
204.03464242839993,240.5501730103805,484.16522491349474,517.7673010380622,458.3174740484429,479.64186851211065,509.4529411764705,477.0570934256055, 492.90, -1092.50, -641.00, 64.54, 42.79
208.134110787172,242.51567906574394,501.6124567474048,538.3162629757785,443.13192041522484,479.45724172021744,511.7361591695501,485.2422145328719, 491.38, -1225.00, -583.21, 62.43, 41.71
211.55033441948206,239.9757785467126,563.9701557093425,528.9249134948095,442.1626297577854,483.07900395452293,513.5455017301038,476.19550173010373, 487.37, -1164.31, -509.39, 185.83, 41.70
214.62493568856115,231.50346020761242,570.1089965397923,546.070588235294,433.9236591695501,482.7696142093201,505.7229671280277,473.50302768166085, 478.00, -1089.88, -441.37, 60.33, 37.92
217.10169782198597,256.4896193771625,570.5397923875432,565.8625803262481,426.6539792387543,471.37058823529406,508.03131487889266,473.17993079584767, 482.74, -1045.69, -406.06, 185.82, 37.92
218.63899845652548,277.167820069204,569.7858996539792,536.8515570934255,434.1498269896193,468.0103806228373,491.6682525951556,473.17993079584767, 483.30, -1008.56, -443.17, 61.36, 38.97
220.176299091065,305.1695501730103,557.1851211072665,561.7084775086505,429.78703994966963,472.3638803756796,489.0475778546712,472.5337370242214, 481.97, -1111.32, -509.09, 185.81, 34.11
